term,count
history,4886
life,2983
english,2595
book,2594
newcastle,2477
british,2288
works,2207
world,2065
war,2037
england,1998
guide,1986
tyne,1827
new,1793
upon,1655
great,1645
report,1621
north,1288
man,1264
john,1247
poems,1235
dictionary,1233
britain,1222
art,1160
complete,1155
christmas,1154
first,1147
love,1115
house,1109
school,1082
modern,1079
songs,1074
letters,1041
death,1037
northumberland,1004
time,996
little,990
music,979
church,957
story,955
durham,950
century,940
one,932
day,923
william,908
library,896
stories,892
last,876
old,854
royal,831
education,830
city,814
home,801
handbook,801
years,793
london,791
plays,784
shakespeare,753
local,750
king,746
county,743
secret,739
vol,736
dead,725
sir,722
east,721
literature,720
thomas,717
girl,708
family,703
night,683
three,677
two,665
george,662
plan,659
people,658
development,656
sea,652
lord,644
catalogue,643
railway,637
public,636
second,626
books,623
introduction,607
work,602
henry,601
ancient,598
american,596
year,596
collected,592
early,591
children,589
social,587
oxford,580
road,573
northern,565
society,558
collection,558
tales,553
black,553
country,552
manual,546
french,531
charles,529
lost,528
piano,525
united,524
south,518
good,516
service,515
town,514
science,513
health,512
law,510
europe,509
men,506
dark,506
essays,506
historical,504
blood,502
garden,500
robert,500
best,496
national,496
act,494
times,491
poetry,490
west,477
heart,475
way,475
street,471
big,470
industrial,470
short,467
james,466
red,465
song,464
business,462
committee,462
child,461
murder,457
selected,456
queen,455
days,453
fire,453
baby,453
organ,451
general,449
women,448
light,448
white,444
age,438
boy,436
studies,430
account,430
scotland,428
land,427
government,424
practice,423
end,420
wales,419
lady,415
services,411
power,409
design,406
young,406
survey,399
practical,399
theory,397
die,395
annual,393
greek,391
illustrated,385
lives,383
high,380
industry,379
papers,379
easy,378
roman,378
magic,377
four,376
summer,376
study,376
america,374
notes,374
schools,374
ireland,372
map,371
girls,366
woman,366
water,364
late,361
natural,360
kingdom,358
memoirs,358
german,356
state,355
friends,353
christian,353
wild,352
management,351
making,347
encyclopedia,346
mary,344
five,342
language,340
india,338
now,338
tyneside,338
present,335
trade,335
god,334
blue,332
dog,331
play,328
moon,327
secrets,326
prose,325
cambridge,325
things,324
france,321
river,318
back,317
care,317
food,317
golden,315
scottish,314
railways,314
will,313
earth,313
verse,313
birds,311
european,311
air,311
album,309
adventures,308
bibliography,308
island,306
revolution,305
star,304
living,304
economic,304
green,303
human,303
made,303
index,302
case,301
africa,300
principles,300
nature,299
italian,299
use,299
small,298
political,298
daughter,297
empire,297
prince,296
party,295
bible,294
building,294
kings,293
six,292
game,291
richard,291
special,290
diary,289
victorian,289
doctor,287
gateshead,287
companion,285
seven,283
list,283
animals,282
middle,282
literary,282
right,281
letter,280
castle,280
district,280
policy,279
long,279
painting,279
mrs,278
fairy,277
army,276
club,275
community,275
libraries,275
working,274
wife,274
religion,274
der,274
writings,273
directory,272
planning,272
bear,271
information,269
wear,267
international,266
rough,265
grammar,265
private,264
bad,263
hospital,263
treatise,262
shadow,261
council,261
cat,260
hall,260
fall,259
like,259
des,259
company,258
words,257
poetical,257
theatre,256
architecture,256
tree,255
oeuvres,255
place,254
regiment,254
housing,254
irish,253
happy,253
system,253
evidence,253
princess,252
samuel,252
large,251
rome,250
series,250
museum,249
mind,248
dream,247
pieces,247
trial,247
elizabeth,246
can,245
werke,245
philosophy,245
census,245
mystery,243
tale,243
battle,243
medieval,243
may,242
opera,242
glass,242
western,242
wedding,241
winter,241
engineering,241
russian,240
university,240
les,240
holy,238
gold,238
season,238
college,238
geology,238
dont,237
official,235
future,235
civil,234
records,234
indian,233
part,232
ages,232
perfect,231
labour,231
commission,231
reports,230
correspondence,230
rules,229
parish,228
body,228
park,227
atlas,226
space,225
court,225
change,225
folk,225
past,224
china,224
ballads,224
area,224
room,223
politics,222
joseph,222
spanish,222
stone,222
rise,221
coal,221
animal,220
plants,220
review,220
lectures,220
containing,218
know,218
iron,218
never,217
relating,217
dummies,217
tracts,217
peace,216
journey,216
progress,216
cross,215
goes,215
ghost,215
und,214
marriage,214
free,214
newcastleupontyne,214
wall,213
central,212
union,212
popular,212
musical,211
common,211
states,211
statistics,211
concerto,210
true,210
scale,210
novel,210
steam,210
poets,210
childrens,209
without,208
david,207
novels,207
silver,206
latin,206
dance,205
minutes,205
ten,204
